08-20-2026 21:14:40 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,0%@729,53%@729,0%@729,0%@729,40%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@55.093C soc2@52.156C soc0@51.968C gpu@51.312C tj@55.312C soc1@51.906C VDD_GPU_SOC 6764mW/5750mW VDD_CPU_CV 4775mW/3003mW VIN_SYS_5V0 8125mW/6469mW
08-20-2026 21:14:40 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,0%@729,40%@2201,0%@2201,0%@729,54%@729,0%@729,8%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 69% cpu@55.281C soc2@52.187C soc0@51.781C gpu@51.75C tj@55.562C soc1@51.937C VDD_GPU_SOC 6764mW/5772mW VDD_CPU_CV 4775mW/3041mW VIN_SYS_5V0 8125mW/6504mW
08-20-2026 21:14:41 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,0%@2201,45%@2201,0%@2201,0%@729,37%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 69% cpu@55.281C soc2@52.25C soc0@51.875C gpu@51.531C tj@55.281C soc1@51.843C VDD_GPU_SOC 7162mW/5801mW VDD_CPU_CV 4775mW/3077mW VIN_SYS_5V0 8125mW/6538mW
08-20-2026 21:14:41 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [16%@729,20%@729,27%@729,0%@729,0%@729,45%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@55.312C soc2@52.125C soc0@52C gpu@51.468C tj@55.5C soc1@51.937C VDD_GPU_SOC 7162mW/5829mW VDD_CPU_CV 4775mW/3112mW VIN_SYS_5V0 8125mW/6570mW
08-20-2026 21:14:41 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,0%@729,37%@729,9%@729,0%@729,27%@729,0%@729,27%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@55.125C soc2@52.156C soc0@51.875C gpu@51.437C tj@55.468C soc1@51.781C VDD_GPU_SOC 7162mW/5855mW VDD_CPU_CV 4775mW/3145mW VIN_SYS_5V0 8125mW/6601mW
08-20-2026 21:14:41 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,45%@729,0%@729,0%@729,0%@729,0%@729,44%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@55.062C soc2@52.187C soc0@51.906C gpu@51.343C tj@55.343C soc1@51.718C VDD_GPU_SOC 7162mW/5881mW VDD_CPU_CV 4775mW/3177mW VIN_SYS_5V0 8125mW/6631mW
08-20-2026 21:14:41 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,0%@2201,45%@2201,0%@2201,0%@729,0%@729,0%@729,33%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 71% cpu@55.156C soc2@52.187C soc0@51.968C gpu@51.312C tj@55.562C soc1@51.843C VDD_GPU_SOC 7162mW/5906mW VDD_CPU_CV 4775mW/3208mW VIN_SYS_5V0 8125mW/6660mW
08-20-2026 21:14:41 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,0%@2201,50%@2201,0%@2201,0%@729,0%@729,0%@729,54%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 69% cpu@55.375C soc2@52.156C soc0@51.812C gpu@51.687C tj@55.468C soc1@51.843C VDD_GPU_SOC 7162mW/5929mW VDD_CPU_CV 4775mW/3237mW VIN_SYS_5V0 8025mW/6685mW
08-20-2026 21:14:41 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,0%@729,50%@729,0%@2201,0%@729,0%@729,0%@729,50%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 66% cpu@55.437C soc2@52.25C soc0@51.875C gpu@51.5C tj@55.437C soc1@51.875C VDD_GPU_SOC 7162mW/5952mW VDD_CPU_CV 4775mW/3266mW VIN_SYS_5V0 8125mW/6712mW
08-20-2026 21:14:41 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,50%@2201,0%@2201,0%@729,0%@729,8%@729,45%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 66% cpu@55.187C soc2@52.187C soc0@51.843C gpu@51.812C tj@55.406C soc1@51.875C VDD_GPU_SOC 7162mW/5974mW VDD_CPU_CV 4775mW/3293mW VIN_SYS_5V0 8125mW/6738mW
