08-20-2026 21:13:24 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [16%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,55%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.062C soc2@50.281C soc0@50.031C gpu@49.406C tj@53.062C soc1@49.75C VDD_GPU_SOC 5183mW/4923mW VDD_CPU_CV 2791mW/1943mW VIN_SYS_5V0 6821mW/5751mW
08-20-2026 21:13:25 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,50%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.187C soc2@50.343C soc0@50C gpu@49.406C tj@53.187C soc1@50C VDD_GPU_SOC 5582mW/4937mW VDD_CPU_CV 2791mW/1961mW VIN_SYS_5V0 6821mW/5773mW
08-20-2026 21:13:25 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,55%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.218C soc2@50.312C soc0@49.968C gpu@49.75C tj@53.218C soc1@49.75C VDD_GPU_SOC 5582mW/4950mW VDD_CPU_CV 2791mW/1978mW VIN_SYS_5V0 6721mW/5792mW
08-20-2026 21:13:25 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,61%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.031C soc2@50.312C soc0@50.093C gpu@49.656C tj@53.031C soc1@49.812C VDD_GPU_SOC 5183mW/4955mW VDD_CPU_CV 2791mW/1994mW VIN_SYS_5V0 6721mW/5811mW
08-20-2026 21:13:25 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,60%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.093C soc2@50.343C soc0@49.937C gpu@49.468C tj@53.093C soc1@49.843C VDD_GPU_SOC 5183mW/4959mW VDD_CPU_CV 2791mW/2010mW VIN_SYS_5V0 6721mW/5829mW
08-20-2026 21:13:25 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,60%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53C soc2@50.343C soc0@49.937C gpu@49.437C tj@53C soc1@49.812C VDD_GPU_SOC 5582mW/4971mW VDD_CPU_CV 2791mW/2025mW VIN_SYS_5V0 6721mW/5846mW
08-20-2026 21:13:25 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,50%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.031C soc2@50.312C soc0@50C gpu@49.343C tj@53.031C soc1@49.812C VDD_GPU_SOC 5183mW/4975mW VDD_CPU_CV 2791mW/2039mW VIN_SYS_5V0 6721mW/5862mW
08-20-2026 21:13:25 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,63%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.281C soc2@50.312C soc0@49.875C gpu@49.343C tj@53.281C soc1@49.812C VDD_GPU_SOC 5582mW/4987mW VDD_CPU_CV 2791mW/2053mW VIN_SYS_5V0 6721mW/5878mW
08-20-2026 21:13:25 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,60%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.25C soc2@50.343C soc0@50.062C gpu@49.375C tj@53.25C soc1@49.75C VDD_GPU_SOC 5183mW/4990mW VDD_CPU_CV 2791mW/2066mW VIN_SYS_5V0 6721mW/5893mW
08-20-2026 21:13:25 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,9%@729,0%@729,58%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.031C soc2@50.343C soc0@49.812C gpu@49.343C tj@53.031C soc1@49.843C VDD_GPU_SOC 5183mW/4994mW VDD_CPU_CV 2791mW/2079mW VIN_SYS_5V0 6721mW/5908mW
08-20-2026 21:13:25 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,0%@729,0%@729,0%@729,0%@729,8%@729,0%@729,55%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.156C soc2@50.406C soc0@49.906C gpu@49.718C tj@53.156C soc1@49.718C VDD_GPU_SOC 5582mW/5004mW VDD_CPU_CV 2791mW/2092mW VIN_SYS_5V0 6721mW/5923mW
08-20-2026 21:13:26 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,60%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@52.968C soc2@50.312C soc0@50C gpu@49.593C tj@52.968C soc1@49.812C VDD_GPU_SOC 5582mW/5014mW VDD_CPU_CV 2791mW/2104mW VIN_SYS_5V0 6721mW/5936mW
